;Marca;Preço_normal;Preco_promocao
101;['Placa', 'De', 'Vídeo', 'Gainward', 'Nvidia', 'Geforce', 'Phoenix', 'Rtx', '3080', '12GB', 'GDDR6X', '384', 'Bits', '-', 'NED3080019KB-132AX', '-', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
102;['Placa', 'De', 'Video', 'Galax', 'Geforce', 'Rtx', '3090', 'Ti', 'Ex', 'Gamer', '24gb', 'Gddr6x', '384', 'Bits', '39IXM5MD6HEX'];['PRODUTO', 'INDISPONÍVEL'];[]
103;['Placa', 'de', 'Vídeo', 'EVGA', 'GeForce', 'RTX', '3060', 'XC', 'GAMING,', '12GB', 'GDDR6,', 'DualFan,', 'Metal', 'Backplate,', 'DLSS,', 'Ray', 'Tracing', '-', '12G-P5-3657-KR'];['PRODUTO', 'INDISPONÍVEL'];[]
104;['Placa', 'de', 'Vídeo', 'EVGA', 'NVIDIA', 'GeForce', 'GTX', '1660', 'Super', 'SC', 'Ultra', 'Gaming,', '6GB,', 'GDDR6', '-', '06G-P4-1068-KR'];['PRODUTO', 'INDISPONÍVEL'];[]
105;['Placa', 'de', 'Video', 'Galax', 'GeForce', 'RTX', '3080', 'SG', '(1-Click', 'OC)', '10GB', 'GDDR6X', '320-bit', '-', '38NWM3MD99RG', '-', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
106;['Placa', 'de', 'Video', 'PowerColor', 'AMD', 'Radeon', 'RX5700', 'XT', '8GB', '1A1-G00318800G'];['PRODUTO', 'INDISPONÍVEL'];[]
107;['Placa', 'de', 'Vídeo', 'Asus', 'NVIDIA', 'GeForce', 'GTX', '1050', 'Ti', 'OC', 'Cerberus', '4GB,', 'GDDR5', '-', 'CERBERUS-GTX1050TI-O4G'];['PRODUTO', 'INDISPONÍVEL'];[]
108;['Placa', 'de', 'Vídeo', 'PowerColor', 'AMD', 'Radeon', 'D6', 'RX5700', '8GB,', 'GDDR6', '-', 'G00319000G'];['PRODUTO', 'INDISPONÍVEL'];[]
109;['Placa', 'de', 'Video', 'Galax', 'Geforce', '1050Ti', 'exoc', '4GB', 'DDR5', '128BIT', '7008MHZ', '1354MHZ', '768', 'cuda', 'cores', 'dvi', 'Hdmi', 'Dp'];['PRODUTO', 'INDISPONÍVEL'];[]
110;['Geforce', 'Pcyes', 'Gtx', '1650', 'Gdd5', '4gb', '128bit'];['PRODUTO', 'INDISPONÍVEL'];[]
111;['Geforce', 'Pcyes', 'Gt', '740', 'Gdd5', '4GB', '128bit'];['PRODUTO', 'INDISPONÍVEL'];[]
112;['Placa', 'de', 'Vídeo', 'Gainward', 'GeForce', 'RTX', '3070', 'Phantom', '8GB', 'GDDR6', '256Bits', '-', 'NE63070019P21040P*'];['PRODUTO', 'INDISPONÍVEL'];[]
113;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '3070', 'TI', '(1-Click', 'OC),', '19', 'Gbps,', '8GB', 'GDDR6X,', 'Ray', 'Tracing,', 'DLSS', '-', '37ISM6MD4COC', '-', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
114;['Placa', 'de', 'Video', 'PNY', 'GeForce', 'RTX', '3080', 'XLR8', '10Gb', 'GDDR6X', '320', 'bit', '19gbps', 'HDMI', 'DP', 'VCG308010TFXMPB'];['PRODUTO', 'INDISPONÍVEL'];[]
115;['Placa', 'de', 'Video', 'Galax', 'GeForce', 'RTX', '3070', 'XLR8', '8GB', 'GDDR6', '256BIT', '14GBPS', 'HMDI', 'DP', 'VCG30708TFXPPB'];['PRODUTO', 'INDISPONÍVEL'];[]
116;['Placa', 'de', 'Video', 'Galax', 'GeForce', 'RTX', '3060', 'Ti', 'EX', '(1-Click', 'OC)', '8GB', 'GDDR6', '256-bit', 'DP*3/HDMI', '-', '361SL6MD1WGG'];['PRODUTO', 'INDISPONÍVEL'];[]
117;['Placa', 'de', 'Video', 'Zotac', 'GeForce', 'RTX', '3080', 'Trinity', 'OC-', 'ZT-A30800J-10P'];['PRODUTO', 'INDISPONÍVEL'];[]
118;['Placa', 'de', 'Vídeo', 'Zotac', 'NVIDIA', 'GeForce', 'RTX', '3070', 'Twin', 'Edge', 'OC,', '8GB,', 'GDDR6', '-', 'ZT-A30700H-10P'];['PRODUTO', 'INDISPONÍVEL'];[]
119;['GPU', 'RX', '550', '2GB', 'GDDR5', 'GIGABYTE', 'GV-RX550D5-2GD'];['PRODUTO', 'INDISPONÍVEL'];[]
120;['Placa', 'de', 'Vídeo', 'ZOTAC', 'GAMING', 'GeForce', 'RTX', '3060', 'Twin', 'Edge', 'OC,', '15', 'Gbps,', '12GB,', 'GDDR6,', 'Ray', 'Tracing', '-', 'ZT-A30600H-10M'];['PRODUTO', 'INDISPONÍVEL'];[]
121;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gt', '710', '2GB', 'DDR3', '64Bits', '71GPF4HI00GX'];['PRODUTO', 'INDISPONÍVEL'];[]
122;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gtx', '1660', 'Super', 'Ex', 'White', '1Click', 'OC', '-', '60SRL7DS04WS'];['PRODUTO', 'INDISPONÍVEL'];[]
123;['Placa', 'de', 'Vídeo', 'Galax', 'NVIDIA', 'GeForce', 'GTX', '1660', 'Super', 'EX', '(1-Click', 'OC),', '6GB,', 'GDDR6', '-', '60SRL7DS03ES'];['PRODUTO', 'INDISPONÍVEL'];[]
124;['Placa', 'de', 'Vídeo', 'Gigabyte', 'NVIDIA', 'GeForce', 'RTX', '3070', 'Gaming', 'OC', '8G,', '8gb,', 'GDDR6', '-', 'GV-N3070GAMING', 'OC-8GD'];['PRODUTO', 'INDISPONÍVEL'];[]
125;['Placa', 'de', 'Vídeo', 'Gigabyte', 'NVIDIA', 'GeForce', 'RTX', '2060', 'Super', 'Windforce', 'OC', '8G,', 'GDDR6', '-', 'GV-N206SWF2OC-8GD'];['PRODUTO', 'INDISPONÍVEL'];[]
126;['Placa', 'de', 'Vídeo', 'PCyes', 'Geforce', 'GT', '730', '2GB', 'GDDR5', '64Bits', 'com', 'Kit', 'Low', 'Profile', 'Single', 'Fan', '-', 'PA730GT6402D5LP'];['PRODUTO', 'INDISPONÍVEL'];[]
127;['Placa', 'de', 'Vídeo', 'Gigabyte', 'NVIDIA', 'GeForce', 'RTX', '3080,', '10GB,', 'GDDR6X', '-', 'GV-N3080EAGLE', 'OC-10GD'];['PRODUTO', 'INDISPONÍVEL'];[]
128;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gt', '1030', '2GB', 'DDR5', '64Bits', 'Exoc', '30NPH4HVQ5EW'];['PRODUTO', 'INDISPONÍVEL'];[]
129;['Placa', 'de', 'Vídeo', 'Gigabyte', 'NVIDIA', 'GeForce', 'RTX', '3090', 'Eagle', 'OC,', '24gb,', 'GDDR6X', '-', 'GV-N3090EAGLEOC-24GD'];['PRODUTO', 'INDISPONÍVEL'];[]
130;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gt', '1030', '2GB', 'GDDR5', '64Bits', '-', '30NPH4HVQ4ST'];['PRODUTO', 'INDISPONÍVEL'];[]
131;['Placa', 'de', 'Video', 'VGA', 'NVIDIA', 'Galax', 'GEFORCE', 'GTX', '1050', '2GB', 'DDR5', '128', 'Bits', '50NPH8DSP2MN'];['PRODUTO', 'INDISPONÍVEL'];[]
132;['Placa', 'de', 'Video', 'Galax', 'GeForce', 'RTX', '3080', 'SG', '(1-Click', 'OC)', 'LHR', '12GB', 'GDDR6X', '384-bit', '-', '38NOM5MD99SS'];['PRODUTO', 'INDISPONÍVEL'];[]
133;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '2060', '12GB', 'Plus', '(1-Click', 'OC)', '12GB', 'GDDR6', '192-bit'];['PRODUTO', 'INDISPONÍVEL'];[]
134;['Placa', 'de', 'Vídeo', 'AMD', 'RX5700', '8GB', 'Radeon', 'D6', '3xDP', 'Hdmi', 'XFX', 'RX-57XL8MFG6'];['PRODUTO', 'INDISPONÍVEL'];[]
135;['Placa', 'de', 'Vídeo', 'AMD', 'RX5700', 'XT', '8GB', 'Radeon', 'D6', '3xDP', 'Hdmi', 'XFX', 'RX-57XT8MFD6'];['PRODUTO', 'INDISPONÍVEL'];[]
136;['Placa', 'de', 'Vídeo', 'EVGA', 'NVIDIA', 'GeForce', 'RTX', '3070', 'XC3', 'ULTRA', 'GAMING,', '8GB,', 'GDDR6,', 'iCX3', 'Cooling,', 'ARGB', 'LED', '-', '08G-P5-3755-KR'];['PRODUTO', 'INDISPONÍVEL'];[]
137;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '2060', 'Super', 'EX', '(1-Click', 'OC', ')', '8GB', 'GDDR6', '256', 'bits', '-', '26ISL6MPX2EX'];['PRODUTO', 'INDISPONÍVEL'];[]
138;['Placa', 'de', 'Vídeo', 'GPU', 'RX', 'VEGA', '56', '8GB', 'HBM2', 'ROG-STRIX-RXVEGA56-O', 'ASUS', '90YV0B50-M0NA00'];['PRODUTO', 'INDISPONÍVEL'];[]
139;['Placa', 'de', 'Vídeo', 'Gainward', 'GEFORCE', 'GT', '1030', '2Gb', 'DDR4', '64', 'Bits', '-', 'NEC103000646-1082F*'];['PRODUTO', 'INDISPONÍVEL'];[]
140;['Placa', 'de', 'Vídeo', 'Gigabyte', 'GTX', '1660', 'Super', 'OC', 'NVIDIA', 'Geforce', '6G,', 'GDDR6', '-', 'GV-N166SOC-6GD'];['PRODUTO', 'INDISPONÍVEL'];[]
141;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '2060', 'Super', 'OC', '(1-Click', 'OC', ')', '8GB', 'GDDR6', '256', 'bits', '-', '26ISL6HP39SS'];['PRODUTO', 'INDISPONÍVEL'];[]
142;['Placa', 'De', 'Vídeo', 'XFX', 'AMD', 'Radeon', 'Core', 'Dp', 'Rx550', '4gb', 'Rx-550p4pfg5'];['PRODUTO', 'INDISPONÍVEL'];[]
143;['Placa', 'de', 'Video', 'Galax', 'GeForce', 'RTX', '3070', '(1-Click', 'OC)', '8GB', 'GDDR6', '256Bits', '-', '37NSL6MD2KOC'];['PRODUTO', 'INDISPONÍVEL'];[]
144;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '3070', 'TI', 'SG,', '19', 'Gbps,', '8GB', 'GDDR6X,', 'RGB,', 'Ray', 'Tracing,', 'DLSS', '-', '527200-0560', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
145;['Placa', 'de', 'Vídeo', 'PNY', 'NVIDIA', 'GeForce', 'RTX', 'A2000,', '6GB', 'GDDR6,', 'DLSS,', 'Preto', '-', 'VCNRTXA2000-PB'];['PRODUTO', 'INDISPONÍVEL'];[]
146;['Placa', 'de', 'Vídeo', 'GeForce', 'GTX', '1650', 'Super', 'EX', '4GB', 'Gddr6', 'Galax'];['PRODUTO', 'INDISPONÍVEL'];[]
147;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '2060', 'OC', '26NRL7HPX7OC'];['PRODUTO', 'INDISPONÍVEL'];[]
148;['Placa', 'de', 'Video', 'XFX', 'RX', '5500', 'XT', 'D6', 'D6', 'THICC', 'II', 'PRO', '8GB', '128bit', 'GDDR6', '-', 'RX-55XT8DFD6'];['PRODUTO', 'INDISPONÍVEL'];[]
149;['Placa', 'de', 'Vídeo', 'Power', 'Color', 'AMD', 'RX6800', 'AXRX', '6800,', '16', 'Gbps,', '16GB,', 'GDDR6', '-', '16BD6-3DH/OC'];['PRODUTO', 'INDISPONÍVEL'];[]
150;['Placa', 'de', 'Vídeo', 'Galax', 'NVIDIA', 'GeForce', 'RTX', '3050', '1-Click', 'OC,', '8GB', 'GDDR6,', 'LHR,', 'DLSS,', 'Ray', 'Tracing', '-', '35NSL8MD6ZOC'];['PRODUTO', 'INDISPONÍVEL'];[]
151;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'RTX', '2060', 'Ex', 'white', '(1-Click', 'OC)', '6GB', 'GDDR6', '26NRL7HPY3EW'];['PRODUTO', 'INDISPONÍVEL'];[]
152;['Placa', 'de', 'Vídeo', 'VGA', 'XFX', 'AMD', 'Radeon', 'R5', '230', '2GB', 'DDR3', '64', 'Bits', 'PCI-Express', '3.0', '625M', 'Low', 'Profile', 'R5-230A-CLH2'];['PRODUTO', 'INDISPONÍVEL'];[]
153;['Placa', 'de', 'Vídeo', 'Galax', 'GeForce', 'RTX', '2060', 'Super', 'EX', 'White', '(1-Click', 'OC)', '8GB', 'GDDR6', '256', 'bits', '-', '26ISL6MPX6EW'];['PRODUTO', 'INDISPONÍVEL'];[]
154;['Placa', 'de', 'Video', 'Galax', 'GeForce', 'RTX', '3080', 'SG', '(1-Click', 'OC)', '10GB', 'GDDR6X', '320-bit', '-', '38NWM3MD99NN'];['PRODUTO', 'INDISPONÍVEL'];[]
155;['Placa', 'de', 'Vídeo', 'PowerColor', 'Radeon', 'RX', '6800', 'Red', 'Dragon,', '16GB,', 'GDDR6,', '256bit,', 'AXRX', '6800', '16GBD6-3DHR/OC'];['PRODUTO', 'INDISPONÍVEL'];[]
156;['Placa', 'de', 'Vídeo', 'XFX', 'AMD', 'Radeon', 'R7', '240', 'Core', '2GB,', 'DDR3', '-', 'R7-240A-2TS4'];['PRODUTO', 'INDISPONÍVEL'];[]
157;['Placa', 'de', 'Vídeo', 'PowerColor', 'Radeon', 'RX', '6900', 'XT,', '16GB,', 'GDDR6,', '256bit,', 'AXRX', '6900XT', '16GBD6-M2DHC'];['PRODUTO', 'INDISPONÍVEL'];[]
158;['Placa', 'de', 'Vídeo', 'XFX', 'AMD', 'Radeon', 'RX', '550', '2GB', 'Core,', 'GDDR5', '-', 'RX-550P2SFG5'];['PRODUTO', 'INDISPONÍVEL'];[]
159;['Placa', 'de', 'Vídeo', 'XFX', 'AMD', 'Radeon', 'RX', '580', 'GTS', 'XXX', 'OC+', '8GB,', 'GDDR5', '-', 'RX-580P8DFD6'];['PRODUTO', 'INDISPONÍVEL'];[]
160;['Placa', 'de', 'Vídeo', 'XFX', 'AMD', 'Radeon', 'RX', '590', 'FatBoy', 'OC+', '8GB,', 'GDDR5', '-', 'RX-590P8DFD6'];['PRODUTO', 'INDISPONÍVEL'];[]
161;['Placa', 'de', 'Video', 'Galax', 'Geforce', '1050Ti', '(1-Click', 'OC)', '4GB', 'DDR5', '128Bit', '7008Mhz'];['PRODUTO', 'INDISPONÍVEL'];[]
162;['Placa', 'de', 'Vídeo', 'Gainward', 'NVIDIA', 'GeForce', 'RTX', '3050', 'Pegasus,', '8GB', 'GDDR6,', 'DLSS,', 'Ray', 'Tracing', '-', 'NE63050019P1-190AE'];['PRODUTO', 'INDISPONÍVEL'];[]
163;['Placa', 'de', 'Vídeo', 'XFX', 'Radeon', 'Navi', 'RX5700', 'XT', 'Thicc', 'II,', '8GB', 'Gdd6', '256Bit', 'RX-57XT8DFD6'];['PRODUTO', 'INDISPONÍVEL'];[]
164;['Placa', 'de', 'Vídeo', 'Gigabyte', 'Nvidia', 'GeForce', 'GT', '710', '2GB,', 'GDDR5', '-', 'GV-N710D5-2GL'];['PRODUTO', 'INDISPONÍVEL'];[]
165;['Placa', 'de', 'Video', 'Gigabyte', 'Geforce', 'Gtx', '1050', 'Ti', 'D5,', '4GB', 'Gddr5', '128Bit', 'GV-N105TD5-4GD'];['PRODUTO', 'INDISPONÍVEL'];[]
166;['Placa', 'de', 'Vídeo', 'PowerColor', 'Red', 'Dragon', 'AMD', 'Radeon', 'RX', '550', '2GB,', 'GDDR5', '-', 'AXRX', '550', '2GBD5-DH'];['PRODUTO', 'INDISPONÍVEL'];[]
167;['Placa', 'de', 'Vídeo', 'Vga', 'Amd', 'Gigabyte', 'Radeon', 'Rx', '580', '4gb', 'Aorus', 'Gddr5', 'GV-RX580AORUS-4GD'];['PRODUTO', 'INDISPONÍVEL'];[]
168;['Placa', 'de', 'Vídeo', 'Gigabyte', 'RX', '580', '4Gb', 'Gaming', 'OC', 'Gddr5', 'GV-RX580GAMING-4GD', '1.1'];['PRODUTO', 'INDISPONÍVEL'];[]
169;['Placa', 'de', 'Vídeo', 'Gigabyte', 'Rx', '570', 'Gaming', '4Gb', 'Gddr', 'Dvi-D-Hdmi-Dp3', 'Gv-RX570GAMING4GD'];['PRODUTO', 'INDISPONÍVEL'];[]
170;['Placa', 'de', 'Vídeo', 'XFX', 'Radeon', 'RX', '5600', 'XT', 'THICC', 'II', 'Pro,', '6GB', 'GDDR6,', '6GB', 'GDDR6,', '192Bit,', 'RX-56XT6DFD6'];['PRODUTO', 'INDISPONÍVEL'];[]
171;['Placa', 'de', 'Vídeo', 'XFX', 'Radeon', 'RX', '5600', 'XT', 'THICC', 'III', 'Ultra,', '6GB', 'GDDR6,', '6GB', 'GDDR6,', '192Bit,', 'RX-56XT6TBD8'];['PRODUTO', 'INDISPONÍVEL'];[]
172;['Placa', 'De', 'Vídeo', 'Gainward', 'Nvidia', 'Geforce', 'Phoenix', 'Rtx', '3080', '10gb', 'Gddr6x', '320', 'Bits', '-', 'NED3080019IA-132AX'];['PRODUTO', 'INDISPONÍVEL'];[]
173;['Placa', 'de', 'Vídeo', 'Gigabyte', 'AMD', 'Radeon', 'RX', '5600', 'XT', 'Gaming', 'OC,', '6GB,', 'GDDR6', '-', 'GV-R56XTGAMING', 'OC-6GD'];['PRODUTO', 'INDISPONÍVEL'];[]
174;['Placa', 'De', 'Vídeo', 'Gainward', 'Nvidia', 'Geforce', 'Phoenix', 'Rtx', '3090', '24gb', 'Gddr6x', '384', 'Bits', '-', 'NED3090T19SB1021P'];['PRODUTO', 'INDISPONÍVEL'];[]
175;['Placa', 'de', 'Vídeo', 'Gigabyte', 'Radeon', 'RX', '5500', 'XT', 'Gaming', 'OC,', '4GB', 'GDDR6,', '128Bit,', 'GV-R55XTGAMING', 'OC-4GD'];['PRODUTO', 'INDISPONÍVEL'];[]
176;['Placa', 'de', 'Video', 'GTX1050TI', '4GB', 'OC', 'WINDFORCE', '2X', 'DDR5', 'GIGABYTE', 'GV-N105TOC-4GD'];['PRODUTO', 'INDISPONÍVEL'];[]
177;['Placa', 'de', 'Vídeo', 'Nvida', 'Gigabyte', 'Geforce', 'GT', '640', '1gb', '-', 'GV-N640D5-1GL'];['PRODUTO', 'INDISPONÍVEL'];[]
178;['Placa', 'de', 'Vídeo', 'GALAX', 'GeForce', 'RTX', '3060', 'Ti', '(1-Click', 'OC)', '8GB', 'GDDR6', '256Bits', '-', '36ISL6MD1VDD'];['PRODUTO', 'INDISPONÍVEL'];[]
179;['Placa', 'de', 'Vídeo', 'Asus', 'NVIDIA', 'GeForce', 'RTX', '3070,', '8GB,', 'GDDR6', '-', 'RTX', 'DUAL-RTX3070-O8G'];['PRODUTO', 'INDISPONÍVEL'];[]
180;['Placa', 'de', 'Vídeo', 'Asus', 'NVIDIA', 'GeForce', 'TUF', 'Gaming', 'RTX', '3070,', 'O8G,', 'GDDR6', '-', 'TUF-RTX3070-O8G-GAMING'];['PRODUTO', 'INDISPONÍVEL'];[]
181;['Placa', 'de', 'Vídeo', 'XFX', 'Speedster', 'SWFT', '210', 'AMD', 'Radeon', 'RX', '6600', 'Core', 'Gaming', 'Graphics', 'Card,', '8GB', 'GDDR6,', 'AMD', 'RDNA', '2', '-', 'RX-66XL8LFDQ'];['PRODUTO', 'INDISPONÍVEL'];[]
182;['Placa', 'de', 'Vídeo', 'Zotac', 'NVIDIA', 'GeForce', 'RTX', '3080,', '10GB,', 'GDDR6X', '-', 'ZT-A30800D-10P'];['PRODUTO', 'INDISPONÍVEL'];[]
183;['Placa', 'de', 'Vídeo', 'XFX', 'Radeon', 'RX', '6700', 'XT', 'Speedster', 'QICK', '319', '12GB', 'GDDR6', '192bit', 'GDDR6', '-', 'RX-67XTYPBDP'];['PRODUTO', 'INDISPONÍVEL'];[]
184;['Placa', 'De', 'Vídeo', 'Palit', 'Geforce', 'Rtx', '3080', 'Gamingpro', 'V1', '10gb,', 'Gddr6x', '-', 'Ned3080019ia-132aa'];['PRODUTO', 'INDISPONÍVEL'];[]
185;['Placa', 'de', 'Vídeo', 'RTX', '4080', 'SG', '1-Click', 'OC', 'GALAX', 'GeForce,', '16', 'GB', 'GDDR6X,', 'ARGB,', 'DLSS,', 'Ray', 'Tracing', '-', '48NZM6MD6LSG'];['PRODUTO', 'INDISPONÍVEL'];[]
186;['Placa', 'de', 'Vídeo', 'Palit,', 'GeForce', 'GTX', '1660', 'Super', 'Stormx,', '6GB,', '192', 'Bit,', 'GDDR6', '-', 'NE6166S018J9-161F'];['PRODUTO', 'INDISPONÍVEL'];[]
187;['Placa', 'De', 'Vídeo', 'Galax', 'RTX', '2060', 'Plus', '1-click', 'Oc', '12gb', '192', 'Bit', 'Gddr6', '26NRL7HP68PC'];['PRODUTO', 'INDISPONÍVEL'];[]
188;['Placa', 'de', 'Vídeo', 'Gigabyte', 'AMD', 'Radeon', 'RX', '570', 'Gaming,', '4GB,', 'GDDR5,', 'REV', '2.0', '-', 'GV-RX570GAMING-4GD'];['PRODUTO', 'INDISPONÍVEL'];[]
189;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gtx', '1650', '4gb', 'Galax', 'Prodigy', 'G5'];['PRODUTO', 'INDISPONÍVEL'];[]
190;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gtx1660', '6gb', 'Prodigy', 'G5', '192b', 'Galax'];['PRODUTO', 'INDISPONÍVEL'];[]
191;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gtx1660', 'Ti', '6gb', 'Prodigy', 'G5', '192b', 'Galax'];['PRODUTO', 'INDISPONÍVEL'];[]
192;['Placa', 'De', 'Video', 'Msi', 'Nvidia', 'Geforce', 'Rtx', '3070', 'Ti', 'Ventus', '3x', '8gb,', '256bit,', 'Gddr6x', '912-V505-007', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
193;['Placa', 'de', 'Vídeo', 'Gainward', 'GeForce', 'RTX', '3070', 'Phoenix', 'GS', '8GB', 'GDDR6', '256Bits', '-', 'NE63070S19P2-1041X', '-', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
194;['Placa', 'de', 'Vídeo', 'Gigabyte', 'NVIDIA', 'GeForce', 'RTX', '3070', 'Eagle', 'OC', '8G,', '8GB,', 'GDDR6', '-', 'GV-N3070EAGLE', 'OC-8GD'];['PRODUTO', 'INDISPONÍVEL'];[]
195;['Placa', 'de', 'Vídeo', 'Gainward', 'NVIDIA', 'GeForce', 'GTX', '1660', 'Super,', '6GB,', 'GDDR6,', 'Ghost', '-', 'NE6166S018J9-1160X'];['PRODUTO', 'INDISPONÍVEL'];[]
196;['Placa', 'de', 'Vídeo', 'GAINWARD', 'GeForce', 'RTX', '3060', 'Ghost', '12GB', 'GDDR6', '192Bits', '-', 'NE63060019K9-190AU', 'LHR'];['PRODUTO', 'INDISPONÍVEL'];[]
197;['Placa', 'de', 'Vídeo', 'Galax', 'geforce', 'Gtx', '1050Ti', '4GB', '1click', 'OC', 'G5', '128B', '50IQH8DSC7CB'];['PRODUTO', 'INDISPONÍVEL'];[]
198;['Placa', 'de', 'Vídeo', 'Zotac', 'Gaming', 'NVIDIA', 'GeForce', 'RTX', '2060,', '6GB,', 'GDDR6', '-', 'ZT-T20600H-10M'];['PRODUTO', 'INDISPONÍVEL'];[]
199;['Placa', 'De', 'Vídeo', 'Gainward', 'Nvidia', 'Geforce', 'Phantom', 'Rtx', '3080', '10gb', 'Gddr6x', '320', 'Bits', '-', 'NED3080U19IA1020P'];['PRODUTO', 'INDISPONÍVEL'];[]
200;['Placa', 'de', 'Vídeo', 'RTX', '4090', 'ST', '1-Click', 'OC', 'Galax', 'NVIDIA', 'GeForce,', '24', 'GB', 'GDDR6X,', 'DLSS,', 'Ray', 'Tracing', '-', '49NXM5MD6DDR'];['PRODUTO', 'INDISPONÍVEL'];[]
201;['Placa', 'de', 'Vídeo', 'RTX', '3060', 'Ti', '1-Click', 'OC', 'Plus', 'SG', 'Galax', 'NVIDIA', 'GeForce,', '8', 'GB', 'GDDR6X,', 'DLSS,', 'Ray', 'Tracing', '-', '36ISM6MD1GSP'];['PRODUTO', 'INDISPONÍVEL'];[]
202;['Placa', 'de', 'Vídeo', 'RTX', '4070', 'Ti', 'SG', 'Galax', 'NVIDIA', 'GeForce,', '12', 'GB', 'GDDR6X,', 'DLSS', '3,', 'Ray', 'Tracing', '-', '47IOM7MD6MSG'];['PRODUTO', 'INDISPONÍVEL'];[]
203;['Placa', 'de', 'Vídeo', 'Gigabyte', 'Nvidia', 'GeForce', 'RTX', '2060', 'Oc', '6G,', 'Gddr6', '-', 'GV-N2060OC-6GD'];['PRODUTO', 'INDISPONÍVEL'];[]
